Domanda,Risposte
disclaimer,Accetto
annonascita,1993
sesso,F
regione,Lombardia
cdl,LM
annocorso,1
nomecorso,comunicazione pubblica e d'impresa
ateneo,milano
anniuso,18
anniinternet,18
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

