Domanda,Risposte
disclaimer,
annonascita,1989
sesso,F
regione,Lombardia
cdl,LM
annocorso,3
nomecorso,filologia letteratura e tradizione classica
ateneo,bologna
anniuso,11
anniinternet,11
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,Non so
creazione_pdf,stampo e scansiono,salvo da word,Adobe Reader
markup,xml
hardware,hard disk,stampante
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,googlemail
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive,pendrive e posta
collaborazione,google docs
spyware,Non so

