Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Veneto
cdl,LT
annocorso,3
nomecorso,lingue e letterature straniere
ateneo,udine
anniuso,11
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,immagine
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,riavvio

