Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,1
nomecorso,antropologia ed etnografia
ateneo,bologna
anniuso,15
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,ocr,salvo da word,Adobe Reader
markup,html,xml
hardware,hard disk,sistema operativo,stampante
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,tutto,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,modalita provvisoria,altro browser,google

