Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,salento
anniuso,12
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,avanzato
risoluzioneproblemi,avanzato
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,ocr
markup,html,xml
hardware,hard disk
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

