Domanda,Risposte
disclaimer,Accetto
annonascita,1990
sesso,M
regione,Lombardia
cdl,LM
annocorso,2
nomecorso,tradizione e interpretazione dei testi letterari
ateneo,verona
anniuso,17
anniinternet,15
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,cestino
google,tutto,siti,non indicizzati
inviocartella,google drive
collaborazione,via email,google docs,wordpress,pendrive
spyware,Non so

