Domanda,Risposte
disclaimer,una cassa di IPA è un'espressione potenzialmente ambigua per un linguista ;)
annonascita,1996
sesso,F
regione,Piemonte
cdl,LT
annocorso,2
nomecorso,lettere
ateneo,torino
anniuso,16
anniinternet,13
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,restringe risultati
social_network,tutto privato
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

