Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Sicilia
cdl,LT
annocorso,3
nomecorso,studi filosofici e storici
ateneo,palermo
anniuso,13
anniinternet,12
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware

