Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Piemonte
cdl,LT
annocorso,3
nomecorso,lingue straniere moderne
ateneo,vercelli
anniuso,8
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,tutto
inviocartella,Non so
collaborazione,via email
spyware,antimalware

