Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,lettere
ateneo,milano
anniuso,13
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

