Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,1
nomecorso,lettere
ateneo,udine
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,wordpress,javascript
hardware,hard disk
duckduckgo,ecommerce
siti_affidabili,ansa,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto,siti,non indicizzati,illegali
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware,google

