Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Umbria
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,medio
creazionecontenuti,nessuno
comunicazione,nessuno
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,jpeg
hardware,Non so
duckduckgo,Non so
siti_affidabili,wikipedia,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,via email
spyware,Non so

