Domanda,Risposte
disclaimer,accetto
annonascita,1998
sesso,M
regione,Campania
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,15
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione,Altro
altroattivita,scrittura, notizie
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,tutto
creazionecontenuti,medio
comunicazione,tutto
risoluzioneproblemi,avanzato
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,p2p
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,google

