Domanda,Risposte
disclaimer,
annonascita,1998
sesso,M
regione,Lombardia
cdl,LT
annocorso,2
nomecorso,scienze umanistiche per la comunicazione
ateneo,milano
anniuso,15
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,html,xml
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti,illegali
inviocartella,cd,google drive
collaborazione,wordpress
spyware,antimalware

