Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,M
regione,Lombardia
cdl,LM
annocorso,2
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,17
anniinternet,13
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso,installer
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk,supporti SSD
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

