Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,2
nomecorso,mediazione linguistica interculturale
ateneo,bologna
anniuso,14
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,tutto
creazionecontenuti,medio
comunicazione,tutto
risoluzioneproblemi,avanzato
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,treccani
https,pornhub,units,googlemail,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

