Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,M
regione,Lombardia
cdl,LT
annocorso,2
nomecorso,scienze umanistiche per la comunicazione
ateneo,milano
anniuso,22
anniinternet,14
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,tutto
risoluzioneproblemi,avanzato
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati,carattere jolly
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,cestino,rispondo
google,non indicizzati
inviocartella,google drive,ftp
collaborazione,google docs
spyware,formatto,antimalware

