Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,scienze umanistiche per la comunicazione
ateneo,milano
anniuso,15
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,N
problemi,S
competenza,ottima
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive,ftp
collaborazione,google docs,wordpress
spyware,antimalware

