Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Lazio
cdl,LT
annocorso,1
nomecorso,lettere moderne
ateneo,tor vergata
anniuso,11
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,Non so
google,siti
inviocartella,vari messaggi email
collaborazione,via email
spyware,riavvio,google

