Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,2
nomecorso,mediazione linguistica interculturale
ateneo,bologna
anniuso,14
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,jpeg
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,apro link
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,google

