Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,M
regione,Veneto
cdl,LM
annocorso,1
nomecorso,filologia e letteratura italiana
ateneo,venezia
anniuso,
anniinternet,
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,retenews24,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,Non so

