Domanda,Risposte
disclaimer,Accetto
annonascita,1994
sesso,M
regione,Veneto
cdl,LT
annocorso,3
nomecorso,storia
ateneo,venezia
anniuso,16
anniinternet,14
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,wikipedia,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo
google,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,modalita provvisoria

