Domanda,Risposte
disclaimer,Accetto
annonascita,1994
sesso,F
regione,Lombardia
cdl,LM
annocorso,1
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,stampo e scansiono,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

