Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Piemonte
cdl,LT
annocorso,3
nomecorso,lingue straniere moderne
ateneo,vercelli
anniuso,15
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico,antimalware

