Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Valle d'Aosta
cdl,LT
annocorso,2
nomecorso,lettere e filosofia
ateneo,torino
anniuso,13
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,nessuna
phishing,apro link
google,siti
inviocartella,google drive,pendrive e posta
collaborazione,via email
spyware,antimalware

