Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,lingue e letterature straniere
ateneo,trieste
anniuso,9
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Altro
altrodispositivo,Sia portatile che tablet
attivita,Studio,Svago
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,wikipedia,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,Non so

