Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Veneto
cdl,LT
annocorso,2
nomecorso,lingue e letterature straniere
ateneo,udine
anniuso,13
anniinternet,10
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr,salvo da word,Adobe Reader
markup,javascript,html
hardware,sistema operativo,cloud computing,browser,indirizzo IP
duckduckgo,Non so
siti_affidabili,ansa,retenews24
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs,wordpress
spyware,altro browser

