Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Sicilia
cdl,LT
annocorso,3
nomecorso,mediazione linguistica interculturale
ateneo,bologna
anniuso,15
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,nessuno
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,pornhub,units,musicagratis,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,Non so
google,tutto
inviocartella,Non so
collaborazione,google docs
spyware,tecnico

