Domanda,Risposte
disclaimer,Accetto 
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,udine
anniuso,15
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,Non so
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,tutto pubblico
password,stessa password
phishing,Non so
google,siti
inviocartella,google drive
collaborazione,pendrive
spyware,Non so

