Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Piemonte
cdl,LT
annocorso,2
nomecorso,scienze dei beni culturali
ateneo,milano
anniuso,7
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,jpeg
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,tutto pubblico
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

