Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,bergamo
anniuso,12
anniinternet,10
interesse,N
computerpersonale,N
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base

