Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Marche
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,bologna
anniuso,14
anniinternet,11
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,tutto
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html
hardware,hard disk,sistema operativo
duckduckgo,p2p
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs,wordpress
spyware,antimalware

