Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,lettere-scienze dei testi letterari e della comunicazione
ateneo,venezia
anniuso,12
anniinternet,6
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,nessuno
comunicazione,medio
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,ocr
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,Non so

