Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,M
regione,Lombardia
cdl,LT
annocorso,2
nomecorso,filosofia
ateneo,bergamo
anniuso,10
anniinternet,7
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,tutto
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

