Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,bergamo
anniuso,11
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,facebook,wikipedia,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,tutto pubblico,opzioni privacy
password,stessa password
phishing,apro link
google,tutto,siti
inviocartella,google drive
collaborazione,via email,pendrive
spyware,tecnico,antimalware,riavvio

