Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Piemonte
cdl,LT
annocorso,1
nomecorso,lingue
ateneo,vercelli
anniuso,10
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,nessuno
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,tutto,siti,non indicizzati,illegali
inviocartella,Non so
collaborazione,via email
spyware,tecnico,antimalware
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,tutto,siti,non indicizzati,illegali
inviocartella,Non so
collaborazione,via email
spyware,tecnico,antimalware

