Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,12
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,latex
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,tutto,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,modalita provvisoria,google

