Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Marche
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,bologna
anniuso,16
anniinternet,14
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,N
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,siti
inviocartella,vari messaggi email,google drive
collaborazione,google docs
spyware,antimalware

