Domanda,Risposte
disclaimer,Accetto 
annonascita,1999
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,lettere
ateneo,bergamo
anniuso,8
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,virus
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,googlemail
allinurl,carattere jolly
social_network,tutto pubblico
password,cambio password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

