Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Sicilia
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,12
anniinternet,8
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo,apro link
google,siti
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware

