Domanda,Risposte
disclaimer,Accetto
annonascita,1994
sesso,M
regione,Puglia
cdl,LM
annocorso,2
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,18
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,avanzato
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,google

