Domanda,Risposte
disclaimer,Accetto 
annonascita,1995
sesso,M
regione,Marche
cdl,LT
annocorso,F
nomecorso,beni culturali e turismo
ateneo,macerata
anniuso,12
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,googlemail
allinurl,dark web
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,tutto
inviocartella,Non so
collaborazione,Non so
spyware,Non so

