Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Liguria
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,7
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,jpeg
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,wikipedia,corrieredellasera,treccani
https,units,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

