Domanda,Risposte
disclaimer,
annonascita,1989
sesso,F
regione,Valle d'Aosta
cdl,LM
annocorso,F
nomecorso,lingue straniere per la comunicazione internazionale
ateneo,torino
anniuso,18
anniinternet,11
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,word,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,Non so

