Domanda,Risposte
disclaimer,Accetto
annonascita,1988
sesso,M
regione,Puglia
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,salento
anniuso,20
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,tutto
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,avanzato
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,antimalware

