Domanda,Risposte
disclaimer,
annonascita,1990
sesso,F
regione,Piemonte
cdl,LM
annocorso,F
nomecorso,filologia moderna classica e comparata
ateneo,vercelli
anniuso,15
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,avanzato
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

