Domanda,Risposte
disclaimer,Accetto
annonascita,1984
sesso,M
regione,Sardegna
cdl,LM
annocorso,1
nomecorso,storia e società
ateneo,cagliari
anniuso,20
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,siti,illegali
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

