Domanda,Risposte
disclaimer,Accetto
annonascita,1987
sesso,F
regione,Toscana
cdl,LT
annocorso,F
nomecorso,lingue e letterature straniere
ateneo,pisa
anniuso,25
anniinternet,17
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

