Domanda,Risposte
disclaimer,Accetto
annonascita,1976
sesso,M
regione,Piemonte
cdl,LT
annocorso,3
nomecorso,filosofia e comunicazione
ateneo,vercellivercelli
anniuso,35
anniinternet,20
interesse,S
computerpersonale,S
os,Linux
altroos,MacOS, Windows, linux
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,avanzato
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,latex
hardware,hard disk,stampante,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

