Domanda,Risposte
disclaimer,Accetto
annonascita,1976
sesso,M
regione,Piemonte
cdl,LT
annocorso,3
nomecorso,lettere e filosofia patrimonio storico culturale
ateneo,vercelli
anniuso,20
anniinternet,13
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,html,xml
hardware,hard disk,sistema operativo,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,units,unicredit
allinurl,carattere jolly
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,formatto,tecnico

