Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Sardegna
cdl,LT
annocorso,3
nomecorso,lettere classiche
ateneo,cagliari
anniuso,22
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,tutto
creazionecontenuti,tutto
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio

