Domanda,Risposte
disclaimer,Accetto
annonascita,1990
sesso,M
regione,Sardegna
cdl,LT
annocorso,F
nomecorso,lettere
ateneo,cagliari
anniuso,20
anniinternet,17
interesse,S
computerpersonale,N
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,virus
siti_affidabili,treccani
https,pornhub,musicagratis,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,wordpress
spyware,riavvio

